pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
8.555,,111,130,98,4.6184015742108855,41.376000000000005,,,968,0,0
7.255,,469,576,99,5.9664755472237925,28.477499999999996,,,1631,0,0
7.6,,437.3333,797,603,6.858950446024004,27.089999999999996,,,2499,0,0
6.92,1.3,397.3333,830,776,7.913693508242435,43.6805,,,2874,0,0.0039081
6.03,1.6933,507.75,845,890,9.467723227132314,70.87,-193,-506,3252,0,1.1039
5.795,2.3575,1739.25,925.5,1100,10.597359287851464,91.67699999999999,,,3723.5,11.519999999999998,1.0548
6.23,2.2575,2027.25,1346.5,1212.75,10.822038283353614,90.4555,,,4293.25,19.200000000000006,0.4541
5.89,3.125,1344,1219.5,1320,12.9128011581653,89.373,-294,-431,4608.5,14.719999999999999,1.3246
6.16,2.4025,2193.5,949.25,1348,13.302868858689868,89.8335,,,4428.75,16.640000000000004,1.016
5.98,2.3225,2654,1135,1495,13.774070640923545,85.31700000000001,-263,-406,4837,15.840000000000003,1.1343
