n_features,feature_subset,SVM_R2,SVM_MSE,DT_R2,DT_MSE,RF_R2,RF_MSE,KNN_R2,KNN_MSE,XGBoost_R2,XGBoost_MSE
1,pH,-0.16406669068431312,0.0815589345492365,-0.33393173034218715,0.09346032453189784,-0.2351136768880293,0.08653675630470913,-0.17775373202792188,0.0825179006617879,-0.3038826312445533,0.09135497049489956
2,pH -> Propionate,0.5801262376428926,0.029417950858892726,0.3742245516587679,0.04384420518362098,0.4811097629647383,0.036355421230821604,0.5761767395240596,0.029694667700937982,0.3813501709167061,0.043344957228729906
3,pH -> Propionate -> VFA,0.7496802787328456,0.017538350617359606,0.5433643326847466,0.03199362957591204,0.762588885361801,0.016633924598130494,0.7300545450221096,0.018913404077787792,0.7117461861098923,0.02019615725522616
4,pH -> Propionate -> VFA -> Butyrate,0.7549881994746716,0.01716645752580432,0.4747979529028503,0.036797650621838804,0.7653676654211927,0.016439232710797627,0.7108152537568151,0.020261381912423215,0.7123129752149302,0.020156445857338952
5,pH -> Propionate -> VFA -> Butyrate -> VSS,0.73979087064258,0.01823124011726489,0.4791193471268549,0.036494877325860514,0.6818916414567575,0.022287880068745443,0.7308933151911152,0.018854636653323854,0.6221321298342689,0.02647485847480883
6,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol,0.7032648671612296,0.020790390680648325,0.5527619021067995,0.03133520016155903,0.7083597887217197,0.020433421120904946,0.7393816857083599,0.018259909168218475,0.6285496958128655,0.026025219422508426
7,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol -> Acetate,0.7067686138704834,0.020544904875733537,0.5324856222309646,0.03275583335768893,0.7508157794746746,0.017458793121707013,0.720805640115546,0.019561417491420558,0.6563089637546526,0.024080299655181343
8,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol -> Acetate -> COD-O,0.7372839609595017,0.018406883733218575,0.5606448431681246,0.03078289136411534,0.7472878403392669,0.017705973939903318,0.8219828551461421,0.012472557441913067,0.6567550450562609,0.024049045504562095
9,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol -> Acetate -> COD-O -> ORP_Mid,0.7541156075672204,0.01722759462974994,0.5886042699580961,0.028823947707496383,0.7400923409391342,0.018210117963025817,0.8173378461671748,0.012798004417011644,0.673459265444114,0.02287868436613965
10,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol -> Acetate -> COD-O -> ORP_Mid -> ORP_Low,0.7460518147521655,0.017792574588101844,0.624311840927356,0.02632213963507223,0.7840718728192198,0.015128744884645464,0.8136516525921085,0.013056273142446877,0.7234878984464316,0.01937348828306546
11,pH -> Propionate -> VFA -> Butyrate -> VSS -> Ethanol -> Acetate -> COD-O -> ORP_Mid -> ORP_Low -> Sucrose_Degradation,0.7318397882096743,0.01878832315806534,0.6074639095465422,0.02750256971160851,0.7779947768144259,0.015554529317161985,0.8178589947081372,0.01276149077042856,0.7557287055080228,0.017114574859982218
