,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,0.9754876114459153,0.7229249966775594,0.9078436438465379,-0.29638332776210013,0.9755617217122858,0.8381092620848779,-0.8195883804404038,-0.8195883804404036,0.8481592277732225,0.8481592277732244,0.8389358712859907
VSS,0.9754876114459153,1.0,0.7320990771435429,0.9136147223173314,-0.2574360416900924,0.9836250534552798,0.8738043339424183,-0.8575086317221065,-0.8575086317221062,0.8823138297798755,0.882756343921859,0.8743744150672017
Ethanol,0.7229249966775594,0.7320990771435429,1.0,0.7733901957256043,-0.4426531759858964,0.7148969602625361,0.693148981806582,-0.6835762215949744,-0.6835762215949742,0.6976243431863298,0.6976243431863295,0.6934161892849064
Acetate,0.9078436438465379,0.9136147223173314,0.7733901957256043,1.0,-0.49867397342819186,0.890681771842304,0.8369286144207577,-0.8224227952954434,-0.822422795295443,0.8443005726425349,0.844300572642535,0.8374649020307738
Propionate,-0.29638332776210013,-0.2574360416900924,-0.4426531759858964,-0.49867397342819186,1.0,-0.17508791895337783,-0.22220255077194645,0.21642144971595811,0.21642144971595806,-0.22544854270859904,-0.22544854270859893,-0.22248482633846225
Butyrate,0.9755617217122858,0.9836250534552798,0.7148969602625361,0.890681771842304,-0.17508791895337783,1.0,0.8868528299910811,-0.8700819648400014,-0.870081964840001,0.8955536822945432,0.8950975483821216,0.887598081534605
Sucrose_Degradation,0.8381092620848779,0.8738043339424183,0.693148981806582,0.8369286144207577,-0.22220255077194645,0.8868528299910811,1.0,-0.997259286280093,-0.997259286280093,0.9988772944614426,0.9970092773193028,0.9998922810907429
ORP_Mid,-0.8195883804404038,-0.8575086317221065,-0.6835762215949744,-0.8224227952954434,0.21642144971595811,-0.8700819648400014,-0.997259286280093,1.0,1.0,-0.9926704465665805,-0.9926704465665813,-0.9964466854719373
ORP_Low,-0.8195883804404036,-0.8575086317221062,-0.6835762215949742,-0.822422795295443,0.21642144971595806,-0.870081964840001,-0.997259286280093,1.0,1.0,-0.9926704465665804,-0.9926704465665811,-0.9964466854719372
VFA,0.8481592277732225,0.8823138297798755,0.6976243431863298,0.8443005726425349,-0.22544854270859904,0.8955536822945432,0.9988772944614426,-0.9926704465665805,-0.9926704465665804,1.0,0.9974080678883288,0.9991413581958694
COD-O,0.8481592277732244,0.882756343921859,0.6976243431863295,0.844300572642535,-0.22544854270859893,0.8950975483821216,0.9970092773193028,-0.9926704465665813,-0.9926704465665811,0.9974080678883288,1.0,0.9962809608941562
HPR,0.8389358712859907,0.8743744150672017,0.6934161892849064,0.8374649020307738,-0.22248482633846225,0.887598081534605,0.9998922810907429,-0.9964466854719373,-0.9964466854719372,0.9991413581958694,0.9962809608941562,1.0
