n_features,feature_subset,SVM_R2,SVM_MSE,DT_R2,DT_MSE,RF_R2,RF_MSE,KNN_R2,KNN_MSE,XGBoost_R2,XGBoost_MSE
1,VFA,0.6956345734287962,0.021324998046442067,-0.015547794104662671,0.07115313644299251,0.40264304209217106,0.0418530977841957,0.6448578849004718,0.024882605741473756,0.32670591904004775,0.04717354110452178
2,VFA -> Butyrate,0.6806753544080102,0.022373097759961703,0.022214289980031388,0.06850738137676363,0.6262788097160829,0.02618432632937077,0.6215413721303377,0.026516249203789373,0.45027520557616063,0.03851580745957909
3,VFA -> Butyrate -> Acetate,0.7336532001351412,0.018661268629554594,0.312815100650502,0.048146784611044845,0.7753270561361361,0.0157414399623488,0.7389821183881571,0.01828790437259742,0.6091968546896522,0.02738115299155681
4,VFA -> Butyrate -> Acetate -> VSS,0.779437183290629,0.015453468839847846,0.6320252958953184,0.025781705677194178,0.7654934200213754,0.016430421865776763,0.7065816635268657,0.020558003327017377,0.7684072335865338,0.016226269018047974
5,VFA -> Butyrate -> Acetate -> VSS -> Propionate,0.7567207021320781,0.017045071807981968,0.5798600714588918,0.029436599472888698,0.7205104252846961,0.019582101363968353,0.7174594799121934,0.01979586218707288,0.6608121503793395,0.023764789292995893
6,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol,0.705766483232983,0.020615117955214084,0.5930556575067878,0.02851206658535586,0.745638781218156,0.01782151328657721,0.7461292554801872,0.017787148796505274,0.679046285763661,0.02248723649789138
7,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol -> COD-O,0.7241526369081117,0.019326914181149825,0.582068093112775,0.02928189708771308,0.7444372673283024,0.017905695914159272,0.7617533951640171,0.016692462215350284,0.6636234612608498,0.023567818172683302
8,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol -> COD-O -> pH,0.7372839609595017,0.018406883733218575,0.54166905050327,0.03211240748579301,0.744408759243999,0.017907693298845596,0.8219828551461421,0.012472557441913067,0.661705931671839,0.023702167580236938
9,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol -> COD-O -> pH -> ORP_Low,0.730480501661718,0.018883559937440304,0.6714267487168273,0.023021090209428198,0.7827413498991276,0.015221966374981435,0.8301397249357059,0.011901056157134797,0.698441980038891,0.021128300474216884
10,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol -> COD-O -> pH -> ORP_Low -> ORP_Mid,0.7460518147521654,0.01779257458810185,0.66216921256943,0.023669708360583193,0.7810608298745593,0.015339709992069106,0.8136516525921085,0.013056273142446877,0.72701651698057,0.0191262598636131
11,VFA -> Butyrate -> Acetate -> VSS -> Propionate -> Ethanol -> COD-O -> pH -> ORP_Low -> ORP_Mid -> Sucrose_Degradation,0.7318397882096748,0.018788323158065317,0.610595566979121,0.02728315389495614,0.7855369599615747,0.015026095313698622,0.8178589947081372,0.01276149077042856,0.7477809283284742,0.017671426322176075
