,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,-0.14665552931302037,-0.24528616500651718,-0.3382489204267606,-0.1603763378090132,-0.1996193669159149,-0.5267525333495036,0.24639302102608862,-0.15903784734201906,-0.2480304566429422,-0.19175146828534287,-0.1269250607954172
VSS,-0.14665552931302037,1.0,0.6972377607029869,0.6872204316835733,0.661991896149142,0.7441910739769247,0.07690531503983526,-0.353079989151323,0.01815938574677312,0.7697334101560704,0.6900344582728959,0.7061770352577283
Ethanol,-0.24528616500651718,0.6972377607029869,1.0,0.7876140403773659,0.8548298959179848,0.7712101772676113,0.10754847224741057,-0.3998041747238421,0.2579098782933014,0.8486345854606675,0.6787607344926987,0.6112376810163518
Acetate,-0.3382489204267606,0.6872204316835733,0.7876140403773659,1.0,0.6637688904347678,0.8650522150545641,0.1784400164691485,-0.5039713834340336,0.09623028402850992,0.9428270082781997,0.6292881273349523,0.7641173604196191
Propionate,-0.1603763378090132,0.661991896149142,0.8548298959179848,0.6637688904347678,1.0,0.6431724977193812,0.045026404538636725,-0.20970442906657036,0.2906815874971276,0.745545644129422,0.665377901302947,0.501264337052605
Butyrate,-0.1996193669159149,0.7441910739769247,0.7712101772676113,0.8650522150545641,0.6431724977193812,1.0,0.12441745231017182,-0.5575051219345487,-0.0147209874414137,0.9600542215404991,0.6836604970828399,0.7827041439272183
Sucrose_Degradation,-0.5267525333495036,0.07690531503983526,0.10754847224741057,0.1784400164691485,0.045026404538636725,0.12441745231017182,1.0,-0.1755855753355453,0.0672758185482732,0.14055549422800825,0.1985001450109919,0.07429795340055174
ORP_Mid,0.24639302102608862,-0.353079989151323,-0.3998041747238421,-0.5039713834340336,-0.20970442906657036,-0.5575051219345487,-0.1755855753355453,1.0,0.42465382269443963,-0.546860721150761,-0.2871544874206903,-0.5449000577215694
ORP_Low,-0.15903784734201906,0.01815938574677312,0.2579098782933014,0.09623028402850992,0.2906815874971276,-0.0147209874414137,0.0672758185482732,0.42465382269443963,1.0,0.0736430394139211,0.13448861374526763,-0.13461950557000246
VFA,-0.2480304566429422,0.7697334101560704,0.8486345854606675,0.9428270082781997,0.745545644129422,0.9600542215404991,0.14055549422800825,-0.546860721150761,0.0736430394139211,1.0,0.7100030547162665,0.7983984609387951
COD-O,-0.19175146828534287,0.6900344582728959,0.6787607344926987,0.6292881273349523,0.665377901302947,0.6836604970828399,0.1985001450109919,-0.2871544874206903,0.13448861374526763,0.7100030547162665,1.0,0.5946466444134247
HPR,-0.1269250607954172,0.7061770352577283,0.6112376810163518,0.7641173604196191,0.501264337052605,0.7827041439272183,0.07429795340055174,-0.5449000577215694,-0.13461950557000246,0.7983984609387951,0.5946466444134247,1.0
