,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,-0.14665552931302017,-0.24528616500651715,-0.3382489204267606,-0.16037633780901311,-0.19961936691591456,-0.526752533349504,0.2463930210260888,-0.15903784734201926,-0.2480304566429422,-0.1917514682853428,-0.12692506079541724
VSS,-0.14665552931302017,1.0,0.6972377607029866,0.6872204316835733,0.6619918961491427,0.7441910739769241,0.07690531503983465,-0.3530799891513227,0.018159385746773733,0.7697334101560708,0.6900344582728966,0.7061770352577283
Ethanol,-0.24528616500651715,0.6972377607029866,1.0,0.7876140403773655,0.8548298959179852,0.7712101772676112,0.10754847224741027,-0.39980417472384183,0.25790987829330203,0.8486345854606675,0.6787607344926992,0.6112376810163512
Acetate,-0.3382489204267606,0.6872204316835733,0.7876140403773655,1.0,0.6637688904347682,0.8650522150545638,0.17844001646914828,-0.5039713834340334,0.09623028402851082,0.9428270082781994,0.6292881273349529,0.7641173604196193
Propionate,-0.16037633780901311,0.6619918961491427,0.8548298959179852,0.6637688904347682,1.0,0.6431724977193818,0.045026404538636586,-0.20970442906657039,0.29068158749712797,0.745545644129422,0.6653779013029475,0.5012643370526053
Butyrate,-0.19961936691591456,0.7441910739769241,0.7712101772676112,0.8650522150545638,0.6431724977193818,1.0,0.12441745231017114,-0.5575051219345487,-0.014720987441412968,0.9600542215404999,0.6836604970828408,0.7827041439272175
Sucrose_Degradation,-0.526752533349504,0.07690531503983465,0.10754847224741027,0.17844001646914828,0.045026404538636586,0.12441745231017114,1.0,-0.1755855753355446,0.06727581854827382,0.14055549422800753,0.1985001450109913,0.07429795340055101
ORP_Mid,0.2463930210260888,-0.3530799891513227,-0.39980417472384183,-0.5039713834340334,-0.20970442906657039,-0.5575051219345487,-0.1755855753355446,1.0,0.4246538226944388,-0.546860721150761,-0.2871544874206909,-0.5449000577215691
ORP_Low,-0.15903784734201926,0.018159385746773733,0.25790987829330203,0.09623028402851082,0.29068158749712797,-0.014720987441412968,0.06727581854827382,0.4246538226944388,1.0,0.0736430394139218,0.13448861374526808,-0.13461950557000169
VFA,-0.2480304566429422,0.7697334101560708,0.8486345854606675,0.9428270082781994,0.745545644129422,0.9600542215404999,0.14055549422800753,-0.546860721150761,0.0736430394139218,1.0,0.7100030547162673,0.798398460938795
COD-O,-0.1917514682853428,0.6900344582728966,0.6787607344926992,0.6292881273349529,0.6653779013029475,0.6836604970828408,0.1985001450109913,-0.2871544874206909,0.13448861374526808,0.7100030547162673,1.0,0.594646644413425
HPR,-0.12692506079541724,0.7061770352577283,0.6112376810163512,0.7641173604196193,0.5012643370526053,0.7827041439272175,0.07429795340055101,-0.5449000577215691,-0.13461950557000169,0.798398460938795,0.594646644413425,1.0
