,count,mean,std,min,25%,50%,75%,max
pH,216.0,0.5724119030723127,0.11855523993314253,0.0,0.5557371335424923,0.5890423162299054,0.6134560700550679,1.0
VSS,216.0,0.12281905393719648,0.17859956388293388,-0.04026168027477047,0.04749620094914329,0.06561879621705381,0.12475208833501136,0.9999999999999999
Ethanol,216.0,0.4587888742439197,0.2617136414831283,0.0,0.28018924311396654,0.40002515617814716,0.6698094677253343,0.9999999999999999
Acetate,216.0,0.1522795068925278,0.12120275171899256,-4.1913774435256785e-05,0.08173230643513657,0.12258760545472927,0.22027570824963405,1.0
Propionate,216.0,0.27390440536623906,0.17280964135399413,-0.00020050863594867812,0.15649997507163213,0.2115645055276147,0.3972705461548274,1.0
Butyrate,216.0,0.39096310159556974,0.26568928495069544,0.0,0.22479323607427054,0.3268942451850998,0.5422096643985699,1.0
Sucrose_Degradation,216.0,0.029066430884765862,0.10139449577470683,-0.00022251415446767784,0.013731599146949217,0.014283225961587652,0.015564740259377322,1.0
ORP_Mid,216.0,0.388235982567879,0.21865298967262062,0.0,0.2292179802955664,0.375,0.47844827586206884,0.9999999999999999
ORP_Low,216.0,0.3391681795470316,0.2021404582057777,0.0,0.2352267588191684,0.27458866625209477,0.3759849397993133,1.0
VFA,216.0,0.39768452916601305,0.24590139077152157,0.0,0.2291729126068056,0.329691950232349,0.5833063895967622,1.0
COD-O,216.0,0.47684535256857463,0.21269280412764874,0.0,0.33562887658227847,0.485759493670886,0.5864978902953586,0.9999999999999999
HPR,216.0,0.2724804309244952,0.2529765003968481,0.0,0.08978153116476002,0.1702072222448398,0.40136831820217406,1.0
