,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,-0.7744140710750006,-0.7188186385275188,-0.8390129273307185,-0.86413778611067,-0.8752991210707401,-0.8411733154990886,0.6470470913707103,-0.613838787902169,-0.8919219170564482,-0.6807755867251055,-0.8536454219652319
VSS,-0.7744140710750006,1.0,0.7564048678227214,0.7334904178096925,0.830620352803213,0.8806662397604669,0.8931033301457729,-0.9321679302119089,0.8243358429069594,0.8535888558207982,0.8682855583459779,0.8529382711763727
Ethanol,-0.7188186385275188,0.7564048678227214,1.0,0.727896259297805,0.8563880365075922,0.8845965618863615,0.8300916015441278,-0.8237058504550664,0.8986953362715581,0.8634745169086704,0.9336721966585289,0.6636390354952697
Acetate,-0.8390129273307185,0.7334904178096925,0.727896259297805,1.0,0.8726945389963807,0.8239841436398159,0.7168980678376496,-0.7241880976521559,0.6551388960131251,0.9172973242358166,0.7661939190490643,0.6008486119114712
Propionate,-0.86413778611067,0.830620352803213,0.8563880365075922,0.8726945389963807,1.0,0.9696289480621324,0.8788801616194395,-0.8193369742975343,0.8300165692874095,0.9894402523805257,0.8382038132028792,0.8064746516484022
Butyrate,-0.8752991210707401,0.8806662397604669,0.8845965618863615,0.8239841436398159,0.9696289480621324,1.0,0.8863273492968976,-0.8810939785273549,0.9038394620506779,0.9769959517123166,0.8601938107085165,0.8645041014663037
Sucrose_Degradation,-0.8411733154990886,0.8931033301457729,0.8300916015441278,0.7168980678376496,0.8788801616194395,0.8863273492968976,1.0,-0.8168383604294795,0.7620432567047427,0.8698341963524545,0.8767358792769208,0.8668970635339519
ORP_Mid,0.6470470913707103,-0.9321679302119089,-0.8237058504550664,-0.7241880976521559,-0.8193369742975343,-0.8810939785273549,-0.8168383604294795,1.0,-0.9368490446073494,-0.8470199863069944,-0.9320138881959797,-0.704389501724952
ORP_Low,-0.613838787902169,0.8243358429069594,0.8986953362715581,0.6551388960131251,0.8300165692874095,0.9038394620506779,0.7620432567047427,-0.9368490446073494,1.0,0.8418892685503875,0.8919585921002582,0.6956051393843198
VFA,-0.8919219170564482,0.8535888558207982,0.8634745169086704,0.9172973242358166,0.9894402523805257,0.9769959517123166,0.8698341963524545,-0.8470199863069944,0.8418892685503875,1.0,0.8570343353372946,0.803281425789202
COD-O,-0.6807755867251055,0.8682855583459779,0.9336721966585289,0.7661939190490643,0.8382038132028792,0.8601938107085165,0.8767358792769208,-0.9320138881959797,0.8919585921002582,0.8570343353372946,1.0,0.6453893287556381
HPR,-0.8536454219652319,0.8529382711763727,0.6636390354952697,0.6008486119114712,0.8064746516484022,0.8645041014663037,0.8668970635339519,-0.704389501724952,0.6956051393843198,0.803281425789202,0.6453893287556381,1.0
