,count,mean,std,min,25%,50%,75%,max
pH,10.0,0.3067028985507249,0.33137051847073523,0.0,0.07155797101449302,0.14492753623188448,0.4986413043478263,1.0000000000000004
VSS,10.0,0.34839999999999993,0.35316082803046184,0.0,0.0,0.3700821917808218,0.5746575342465753,1.0
Ethanol,10.0,0.42353191506095167,0.3594767983385713,0.0,0.13143923515532835,0.3204384585135666,0.7252261108926464,1.0
Acetate,10.0,0.6127209206740648,0.2834501324889037,0.0,0.555076037813399,0.6208384710234278,0.7879675297986025,1.0
Propionate,10.0,0.5699176807444524,0.3584734491482742,0.0,0.3924481030780243,0.6420901932712956,0.8555386542591267,1.0
Butyrate,10.0,0.5466598500340829,0.3510704923086818,0.0,0.2735173824130878,0.5913428766189498,0.8488411724608039,1.0
Sucrose_Degradation,10.0,0.5995788626194127,0.4254196453818534,0.0,0.2301101614876059,0.7896867790731883,0.9696746249245207,1.0
ORP_Mid,10.0,0.6460396039603961,0.4081995589901135,0.0,0.31353135313531344,0.8333333333333333,1.0,1.0
ORP_Low,10.0,0.3375,0.40846086443841567,0.0,0.0,0.125,0.6875,1.0
VFA,10.0,0.6057120703024037,0.33987383512481334,0.0,0.41994055311449985,0.6512664771258724,0.8857262858619797,1.0
COD-O,10.0,0.40583333333333316,0.43874909869416046,0.0,0.0,0.2999999999999998,0.8104166666666663,1.0
HPR,10.0,0.4598828401026725,0.4285496645708517,0.0,0.0007376000301977956,0.5549222406764306,0.824116714479843,1.0
