,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,HPR
pH,1.0,0.9754876114459148,0.7229249966775602,0.9078436438465387,-0.29638332776209975,0.975561721712287,0.8381092620848777,-0.8195883804404036,-0.8195883804404037,0.8481592277732242,0.8389358712859919
VSS,0.9754876114459148,1.0,0.7320990771435426,0.9136147223173331,-0.2574360416900919,0.9836250534552792,0.8738043339424185,-0.8575086317221072,-0.8575086317221071,0.8823138297798763,0.8743744150672024
Ethanol,0.7229249966775602,0.7320990771435426,1.0,0.7733901957256052,-0.4426531759858964,0.7148969602625356,0.693148981806581,-0.6835762215949738,-0.6835762215949738,0.69762434318633,0.6934161892849066
Acetate,0.9078436438465387,0.9136147223173331,0.7733901957256052,1.0,-0.49867397342819225,0.8906817718423043,0.8369286144207576,-0.8224227952954433,-0.8224227952954429,0.8443005726425358,0.8374649020307736
Propionate,-0.29638332776209975,-0.2574360416900919,-0.4426531759858964,-0.49867397342819225,1.0,-0.1750879189533777,-0.22220255077194642,0.21642144971595795,0.21642144971595786,-0.2254485427085993,-0.22248482633846262
Butyrate,0.975561721712287,0.9836250534552792,0.7148969602625356,0.8906817718423043,-0.1750879189533777,1.0,0.8868528299910805,-0.8700819648400011,-0.8700819648400011,0.8955536822945427,0.8875980815346054
Sucrose_Degradation,0.8381092620848777,0.8738043339424185,0.693148981806581,0.8369286144207576,-0.22220255077194642,0.8868528299910805,1.0,-0.9972592862800924,-0.9972592862800926,0.9988772944614439,0.9998922810907431
ORP_Mid,-0.8195883804404036,-0.8575086317221072,-0.6835762215949738,-0.8224227952954433,0.21642144971595795,-0.8700819648400011,-0.9972592862800924,1.0,0.9999999999999997,-0.9926704465665804,-0.9964466854719369
ORP_Low,-0.8195883804404037,-0.8575086317221071,-0.6835762215949738,-0.8224227952954429,0.21642144971595786,-0.8700819648400011,-0.9972592862800926,0.9999999999999997,1.0,-0.9926704465665802,-0.9964466854719368
VFA,0.8481592277732242,0.8823138297798763,0.69762434318633,0.8443005726425358,-0.2254485427085993,0.8955536822945427,0.9988772944614439,-0.9926704465665804,-0.9926704465665802,1.0,0.9991413581958692
HPR,0.8389358712859919,0.8743744150672024,0.6934161892849066,0.8374649020307736,-0.22248482633846262,0.8875980815346054,0.9998922810907431,-0.9964466854719369,-0.9964466854719368,0.9991413581958692,1.0
