,count,mean,std,min,25%,50%,75%,max
pH,281.0,0.03494813690600796,0.10990501517679838,0.0,0.011764705882352941,0.02058823529411765,0.03482352941176471,1.0
VSS,281.0,0.02930011862396204,0.1017842091333431,0.0,0.0,0.01282051282051282,0.038461538461538464,1.0
Ethanol,281.0,0.10155058464667005,0.11312207183130839,0.0,0.03571428571428571,0.07142857142857142,0.14285714285714285,1.0
Acetate,281.0,0.05456278596847991,0.10231164446277428,0.0,0.0035714285714285713,0.03571428571428571,0.07142857142857142,1.0
Propionate,281.0,0.4497790185934659,0.19312883981348167,0.0,0.30135604191742,0.4754728661363738,0.5759248801088471,1.2561086376476869
Butyrate,281.0,0.02707435849410002,0.1013435724094856,0.0,0.0,0.013157894736842105,0.02631578947368421,1.0
Sucrose_Degradation,281.0,0.007710557532621587,0.0783628215218836,0.0,0.0,0.0,0.0,1.0
ORP_Mid,281.0,0.9928825622775801,0.0741937781399568,0.0,1.0,1.0,1.0,1.0
ORP_Low,281.0,0.9928825622775801,0.07419377813995676,0.0,1.0,1.0,1.0,1.0
VFA,281.0,0.008113879003558718,0.0813260711112961,0.0,0.0,0.0,0.0,1.0
HPR,281.0,0.007806222018137986,0.0792399341375884,0.0,0.0,0.0,0.0,1.0
