,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,-0.11131295808257843,0.006018005919134749,-0.02992012151575659,-0.17020389058873406,0.1258211414399891,0.09136943125904223,-0.13555643461549588,-0.10114981839150192,-0.1350143970265881,-0.15132495861018105,-0.008747254186169437
VSS,-0.11131295808257843,1.0,-0.01999415369539604,0.06705505314996058,0.023816383948662145,0.10773370448107644,0.07788612741325684,-0.07475153312003516,-0.10360990920271808,-0.010626103559799798,0.011915263970115345,-0.105163489059295
Ethanol,0.006018005919134749,-0.01999415369539604,1.0,-0.011886605519804758,-0.02005006112026399,0.05247048007111844,-0.058881836967842376,-0.12626501646241903,0.010696900246107843,-0.049350603782894124,-0.037417013871984386,0.005724845501785694
Acetate,-0.02992012151575659,0.06705505314996058,-0.011886605519804758,1.0,0.08679887574583797,0.015910064366795578,-0.023175291906354062,0.02818415474672595,0.18406712013007134,0.06752546678464079,-0.0030946445208576766,0.0968415691338022
Propionate,-0.17020389058873406,0.023816383948662145,-0.02005006112026399,0.08679887574583797,1.0,-0.0080776105989512,-0.10832038195302061,0.003205746901456133,0.15878596699085137,-0.05229468618436359,0.24190714622339912,-0.023641930562331877
Butyrate,0.1258211414399891,0.10773370448107644,0.05247048007111844,0.015910064366795578,-0.0080776105989512,1.0,0.1570569855054397,0.02714563319514261,0.0906557205984439,0.06754709083836101,-0.052240223017794594,0.13676741088674918
Sucrose_Degradation,0.09136943125904223,0.07788612741325684,-0.058881836967842376,-0.023175291906354062,-0.10832038195302061,0.1570569855054397,1.0,-0.14584681087879156,-0.037312662217010455,-0.0768304184270504,-0.044472136643995026,-0.0030527581037049158
ORP_Mid,-0.13555643461549588,-0.07475153312003516,-0.12626501646241903,0.02818415474672595,0.003205746901456133,0.02714563319514261,-0.14584681087879156,1.0,0.07559513043080462,0.1156114774183522,0.058592567126496506,0.14091085814901244
ORP_Low,-0.10114981839150192,-0.10360990920271808,0.010696900246107843,0.18406712013007134,0.15878596699085137,0.0906557205984439,-0.037312662217010455,0.07559513043080462,1.0,0.044135355758099265,0.10690549277590856,-0.01689112560704968
VFA,-0.1350143970265881,-0.010626103559799798,-0.049350603782894124,0.06752546678464079,-0.05229468618436359,0.06754709083836101,-0.0768304184270504,0.1156114774183522,0.044135355758099265,1.0,0.020146201623925435,0.0774667767806294
COD-O,-0.15132495861018105,0.011915263970115345,-0.037417013871984386,-0.0030946445208576766,0.24190714622339912,-0.052240223017794594,-0.044472136643995026,0.058592567126496506,0.10690549277590856,0.020146201623925435,1.0,0.05690030886754081
HPR,-0.008747254186169437,-0.105163489059295,0.005724845501785694,0.0968415691338022,-0.023641930562331877,0.13676741088674918,-0.0030527581037049158,0.14091085814901244,-0.01689112560704968,0.0774667767806294,0.05690030886754081,1.0
