,pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
pH,1.0,0.9933992677987828,1.0,0.973684210526316,0.9933992677987828,0.9957729016760105,0.9994664294862465,0.9538209664765324,0.9538209664765318,0.9933992677987828,0.9933992677987828,0.9996523239463023
VSS,0.9933992677987828,1.0,0.9933992677987826,0.9933992677987828,1.0,0.9786642126699789,0.996615895540124,0.9819805060619657,0.9819805060619654,1.0,1.0,0.9960784162656541
Ethanol,1.0,0.9933992677987826,1.0,0.9736842105263157,0.9933992677987826,0.9957729016760107,0.9994664294862463,0.953820966476532,0.9538209664765314,0.9933992677987826,0.9933992677987826,0.9996523239463023
Acetate,0.973684210526316,0.9933992677987828,0.9736842105263157,1.0,0.9933992677987828,0.9486357228984483,0.9806085723261287,0.9971764649527383,0.9971764649527379,0.9933992677987828,0.9933992677987828,0.9793548148306415
Propionate,0.9933992677987828,1.0,0.9933992677987826,0.9933992677987828,1.0,0.9786642126699789,0.996615895540124,0.9819805060619657,0.9819805060619654,1.0,1.0,0.9960784162656541
Butyrate,0.9957729016760105,0.9786642126699789,0.9957729016760107,0.9486357228984483,0.9786642126699789,1.0,0.9922415282452075,0.9221997170517993,0.9221997170517988,0.9786642126699789,0.9786642126699789,0.9930048780147442
Sucrose_Degradation,0.9994664294862465,0.996615895540124,0.9994664294862463,0.9806085723261287,0.996615895540124,0.9922415282452075,1.0,0.9631231373018604,0.9631231373018599,0.996615895540124,0.996615895540124,0.9999801658793603
ORP_Mid,0.9538209664765324,0.9819805060619657,0.953820966476532,0.9971764649527383,0.9819805060619657,0.9221997170517993,0.9631231373018604,1.0,1.0,0.9819805060619656,0.9819805060619656,0.9614094233967866
ORP_Low,0.9538209664765318,0.9819805060619654,0.9538209664765314,0.9971764649527379,0.9819805060619654,0.9221997170517988,0.9631231373018599,1.0,1.0,0.9819805060619654,0.9819805060619654,0.9614094233967864
VFA,0.9933992677987828,1.0,0.9933992677987826,0.9933992677987828,1.0,0.9786642126699789,0.996615895540124,0.9819805060619656,0.9819805060619654,1.0,1.0,0.9960784162656541
COD-O,0.9933992677987828,1.0,0.9933992677987826,0.9933992677987828,1.0,0.9786642126699789,0.996615895540124,0.9819805060619656,0.9819805060619654,1.0,1.0,0.9960784162656541
HPR,0.9996523239463023,0.9960784162656541,0.9996523239463023,0.9793548148306415,0.9960784162656541,0.9930048780147442,0.9999801658793603,0.9614094233967866,0.9614094233967864,0.9960784162656541,0.9960784162656541,1.0
