,count,mean,std,min,25%,50%,75%,max
pH,120.0,0.4979974179200261,0.30872304568256015,0.01083765148029836,0.21970087342862454,0.49997924680812844,0.8116212765230028,0.9968742518459474
VSS,120.0,0.519036446622511,0.2919793370701994,0.018390676547466733,0.28413901392592733,0.523269583106186,0.765739813340927,0.9899602323899452
Ethanol,120.0,0.4657788214324715,0.30489023493497447,0.00638587171683358,0.18424876874482138,0.4770449184806863,0.7320516779609441,0.9929647961193003
Acetate,120.0,0.5095892357637617,0.29274217213174036,0.022123551528997254,0.27284467714778915,0.5538101318115345,0.7488484556979583,0.9997176732861306
Propionate,120.0,0.48806083998450994,0.29949762352877723,0.013094456588333636,0.20365666710145566,0.5215904455354731,0.7443195879755902,0.9966368370739054
Butyrate,120.0,0.49955135662380545,0.29781888101884696,0.011353644767419069,0.24065968546375235,0.4915317475536236,0.7281956543056674,0.9905051420006733
Sucrose_Degradation,120.0,0.4947890549323853,0.29758301305344603,0.005522117123602399,0.22783750605434427,0.5039863812701681,0.769113794683367,0.9860010638228709
ORP_Mid,120.0,0.5204322849385885,0.3059847561759334,0.004632023004602859,0.25937643489498424,0.5519414674175681,0.7983160002551618,0.9877223897360315
ORP_Low,120.0,0.5119659207003202,0.27086315022929486,0.012154474689816341,0.3197253265059763,0.48842808094632706,0.720882430831702,0.9900538501042633
VFA,120.0,0.4678521316309436,0.2692872292532498,0.026366974497252005,0.2297061693386829,0.4548806069247872,0.6782876942054201,0.9979341105333375
COD-O,120.0,0.49048712782321463,0.30473628603426045,0.005061583846218687,0.212762353659367,0.4968073765468109,0.7778215357333635,0.9971245001577111
HPR,120.0,0.5011024046584537,0.29740330105295604,0.004939980934409616,0.23415153284267265,0.4905622183524775,0.7339352705778709,0.9963339160567419
