pH,VSS,Ethanol,Acetate,Propionate,Butyrate,Sucrose_Degradation,ORP_Mid,ORP_Low,VFA,COD-O,HPR
8.555,1.3,111.0,130.0,98.0,4.6184015742108855,41.376000000000005,-193.0,-506.0,968.0,0.0,0.0
7.255,1.3,469.0,576.0,99.0,5.9664755472237925,28.477499999999996,-193.0,-506.0,1631.0,0.0,0.0
7.6,1.3,437.3333,797.0,603.0,6.858950446024004,27.089999999999996,-193.0,-506.0,2499.0,0.0,0.0
6.92,1.3,397.3333,830.0,776.0,7.913693508242435,43.6805,-193.0,-506.0,2874.0,0.0,0.0039081
6.03,1.6933,507.75,845.0,890.0,9.467723227132314,70.87,-193.0,-506.0,3252.0,0.0,1.1039
5.795,2.3575,1739.25,925.5,1100.0,10.597359287851464,91.67699999999999,-226.66666666666666,-481.0,3723.5,11.519999999999998,1.0548
6.23,2.2575,2027.25,1346.5,1212.75,10.822038283353614,90.4555,-260.3333333333333,-456.0,4293.25,19.200000000000006,0.4541
5.89,3.125,1344.0,1219.5,1320.0,12.9128011581653,89.373,-294.0,-431.0,4608.5,14.72,1.3246
6.16,2.4025,2193.5,949.25,1348.0,13.302868858689868,89.8335,-278.5,-418.5,4428.75,16.640000000000004,1.016
5.98,2.3225,2654.0,1135.0,1495.0,13.774070640923545,85.31700000000001,-263.0,-406.0,4837.0,15.840000000000003,1.1343
5.92,2.1025,2315.0,1598.0,1698.0,20.127493347067713,87.667,-271.0,-408.0,6521.0,22.24,1.568
6.215,2.22,2305.0,1588.0,1369.0,25.13908316340736,90.22500000000001,-270.0,-420.0,6985.0,19.04,1.7084
6.475,2.165,2398.0,1169.0,1890.0,18.598427961011403,81.6995,-225.5,-339.0,6039.0,20.48,0.6025
6.734999999999999,2.32125,2445.0,1356.0,1698.0,28.684018425774635,85.04075,-181.0,-258.0,7650.0,22.0,1.3589
5.865,2.4775,2717.0,1671.5,1633.5,30.428401182520503,88.382,-432.0,-263.0,8180.5,23.2,2.9909
5.87,2.54,2989.0,1987.0,1569.0,32.17278393926637,91.14699999999999,-420.0,-300.0,8711.0,21.12,3.6738
6.03,2.6025,2768.0,2001.0,1169.0,32.378739685143344,93.91199999999999,-425.0,-309.0,8358.0,26.08,2.1494
6.035,2.6667,3190.0,1987.0,1089.0,32.172783939266374,92.0685,-402.0,-473.0,8231.0,22.88,2.411
6.125,3.41,2989.0,1987.0,1569.0,32.17278393926637,94.60300000000001,-460.0,-400.0,8711.0,23.04,2.3513
6.09,2.74,2432.0,1803.0,1432.0,26.505880386045447,80.77799999999999,-377.0,-493.0,7482.0,21.92,2.1237
7.125,2.0700000000000003,3207.0,1103.0,1102.0,20.645503253364335,68.42750000000001,-294.0,-391.0,5513.0,23.52,1.2424
7.234999999999999,1.4,2110.0,678.0,1321.0,11.870540262363654,74.94850000000001,-336.0,-425.0,3901.0,0.0,0.4118
6.08,3.1,3120.0,903.0,900.0,18.77317829084641,81.46950000000001,-537.0,-463.0,4811.0,26.88,0.4731
5.805,2.2725,2987.0,2134.0,1670.0,28.503027012731234,84.21605,-490.5,-462.0,8371.0,21.12,1.4876
5.595000000000001,3.0,2542.0,3098.0,1578.0,31.57363995126063,83.751,-444.0,-500.0,9735.0,17.120000000000008,3.3399
6.66,2.4267,2498.0,2080.0,1342.0,18.436159797593184,91.44650000000001,-414.0,-485.0,6376.0,19.36,1.6068
6.015000000000001,1.38,1489.0,1760.0,1120.0,12.806702743622617,90.4555,-525.0,-535.0,4932.0,19.679999999999993,0.3044
5.51,2.665,2489.0,1988.0,1134.0,17.805810393545478,84.0317,-451.0,-502.0,5975.0,19.200000000000006,1.0667
5.279999999999999,2.25,2515.0,2998.0,1057.0,31.2428625412158,100.0,-423.0,-521.0,9061.0,17.87,3.3168
5.16,2.62,2455.0,3212.0,998.0,34.58808314091449,100.0,-394.0,-479.0,9752.0,19.200000000000006,6.1428
5.62,2.555,2425.0,3123.0,1000.0,33.92652832082483,100.0,-332.0,-432.0,9559.0,17.0,4.988
